Unnamed: 0,time(millisecond),datetime(utc),lat,lon,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,time,alt,Planename,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
2787,418496,29/09/2020 12:05,51.51317735,5.840188169,164.1469869,162.7034173,83.8582704,262.6891498,0,35.47473668,4786.384668,14,0,0,279.4443997,180.9022368,35.47473668,4866.765248,1.342164,3.35541,0.223694,84.9,4.1,21.3,0,0,1024,1024,1024,1024,0,0,53,,,,,,,0,32,262.6891498,164.1469869,6,P-GPS,,2020-09-29 14:05:00,80.06765286,Parrot,Fixed-Wing,34.71067954931474,55.629857396948616,80.06731587330167,12.990638757258175,6.529366632002077,-0.35856228496785614,0
2794,419564,29/09/2020 12:05,51.51324137,5.840392309,162.8641784,162.6017112,82.677168,261.4063414,0,34.5047995,4734.547396,14,0,0,279.4443997,180.9022368,35.47473668,4866.765248,0.671082,3.35541,-0.223694,88.1,10.7,-15.6,0,0,1024,1024,1024,1024,0,0,53,,,,,,,0,32,261.4063414,162.8641784,6,P-GPS,,2020-09-29 14:05:00,79.67665285,Parrot,Fixed-Wing,48.8822842853565,62.75280222009937,79.67615704956967,12.990638757258175,6.529366632002077,-0.35856228496785614,0
2811,422000,29/09/2020 12:05,51.51336431,5.841012627,163.6023674,163.405517,82.6115512,262.1445304,0,33.74759531,4590.157627,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,1.342164,3.131716,0.223694,71.8,3.2,-10.6,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,262.1445304,163.6023674,6,P-GPS,,2020-09-29 14:05:00,79.90165286,Parrot,Fixed-Wing,91.94529565458178,76.43164186410485,79.90053330150374,39.474430377992384,12.538937385249804,0.20567824807942264,0
2820,423410,29/09/2020 12:05,51.5134229,5.841207646,162.5393753,161.5879317,83.3661444,261.0815382,0,33.39080338,4541.141878,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,1.565858,2.908022,0.0,64.9,4.9,-9.5,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,261.0815382,162.5393753,6,P-GPS,,2020-09-29 14:05:00,79.57765285,Parrot,Fixed-Wing,105.48358324346627,82.95059379564279,79.57624269631721,12.410097990652279,5.975706435218649,-0.2972664128598566,0
2831,425220,29/09/2020 12:05,51.513562,5.841584501,160.022971,156.0203462,86.4173256,258.5651339,0,34.61754128,4441.634,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,1.789552,2.908022,0.0,62.1,6.2,-7.9,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,258.5651339,160.022971,6,P-GPS,,2020-09-29 14:05:00,78.81065282,Parrot,Fixed-Wing,131.6448101149864,98.4273860207979,78.80853717747813,23.981126630654007,14.187060721980577,-0.7037301175799995,0
2837,425963,29/09/2020 12:05,51.51363806,5.841774091,159.7080104,151.965228,90.1574832,258.2501733,0,34.71932205,4390.485705,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,2.013246,2.908022,0.0,61.8,7.5,-4.5,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,258.2501733,159.7080104,6,P-GPS,,2020-09-29 14:05:00,78.71465282,Parrot,Fixed-Wing,144.80604881465237,106.89013760165088,78.71211625319515,12.064469813399628,7.75752292890881,-0.08838585462488713,0
2847,427642,29/09/2020 12:05,51.51371575,5.841963827,159.839244,148.9140468,93.339898,258.3814069,0,35.27184623,4338.976517,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,2.013246,2.908022,0.0,60.1,5.0,-4.5,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,258.3814069,159.839244,6,P-GPS,,2020-09-29 14:05:00,78.75465282,Parrot,Fixed-Wing,157.97737640043138,115.53427884053824,78.75165345858844,12.073717959773925,7.923796795963145,0.03624244129738358,0
2857,429257,29/09/2020 12:05,51.51387802,5.842338962,160.8005301,144.8556477,98.3595832,259.342693,0,34.78150898,4235.597248,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,2.013246,2.908022,-0.223694,58.2,5.0,-2.3,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,259.342693,160.8005301,6,P-GPS,,2020-09-29 14:05:00,79.04765283,Parrot,Fixed-Wing,184.01880019577513,133.58923573387153,79.04360394519406,23.871307135007363,16.550378531420403,0.26762130169026804,0
2867,430861,29/09/2020 12:05,51.51403991,5.842700384,161.8405564,144.74738,99.5078772,260.3827193,0,33.9231951,4135.006694,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,2.013246,2.684328,0.0,57.3,0.5,-2.7,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,260.3827193,161.8405564,6,P-GPS,,2020-09-29 14:05:00,79.36465284,Parrot,Fixed-Wing,209.10808683964814,151.60201094742672,79.35942941591843,22.998514673426484,16.51171198840159,0.28950670562289144,0
2873,431668,29/09/2020 12:05,51.51403991,5.842700384,162.6082729,145.5150965,99.5078772,261.1504359,0,34.26455214,4135.006694,15,0,0,279.4443997,180.9022368,35.47473668,4866.765248,2.013246,2.684328,0.0,56.3,2.6,-5.0,0,0,1024,1024,1024,1024,0,0,52,,,,,,,0,32,261.1504359,162.6082729,6,P-GPS,,2020-09-29 14:05:00,79.59865285,Parrot,Fixed-Wing,209.10809449550166,151.60201651248647,79.5934294251767,7.017866313956773e-06,5.101305197490121e-06,0.214500026361747,0
